nombre_de_la_suscripcion,id_de_la_suscripcion,grupo_de_recursos,nombre_de_la_VM
OXZSUB-FINANZAS-PRD,dbaa7803-de14-4f87-a631-e60396a1e25c,OXZRGACFIP01,OXZVMMIDPWAP01
OXZSUB-FINANZAS-PRD,dbaa7803-de14-4f87-a631-e60396a1e25c,OXZRGAUTFP01,OXZVMAUFPWAP1
OXZSUB-FINANZAS-PRD,dbaa7803-de14-4f87-a631-e60396a1e25c,OXZRGIMMEXP01,OXZVMIMMEXPAP01
OXZSUB-FINANZAS-PRD,dbaa7803-de14-4f87-a631-e60396a1e25c,OXZRGIMMEXP01,OXZVMIMMEXPDB01
OXZSUB-FINANZAS-PRD,dbaa7803-de14-4f87-a631-e60396a1e25c,OXZRGIMMEXP01,OXZVMIMMEXPDB02
OXZSUB-FINANZAS-PRD,dbaa7803-de14-4f87-a631-e60396a1e25c,OXZRGNASAP01,OXZVMNASPWDB01
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-AUT-DEV-RESOURCEGROUP,OXG-AUT-DEV-VM
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-HDA-DEV-RESOURCEGROUP,OXG-HDA-DEV-VirtualMachine
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-TLD-DES-RESOURCEGROUP,OXG-TRB-DEV-INT-VM
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-TRB-DEV-AGN-RESOURCEGROUP,OXG-TBR-DEV-SDP-VM
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-TRB-DEV-AGN-RESOURCEGROUP,OXG-TRB-DEV-AGN-VM01
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-TRB-DEV-AGN-RESOURCEGROUP,OXG-TRB-DEV-AGN-VM02
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-TRB-DEV-AGN-RESOURCEGROUP,OXG-TRB-DEV-AGN-VM03
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-TRB-DEV-AGN-RESOURCEGROUP,OXG-TRB-DEV-AGN-VM05
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-TRB-DEV-AGN-RESOURCEGROUP,OXG-TRB-DEV-AGN-VM06
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-TRB-DEV-AGN-RESOURCEGROUP,OXG-TRB-DEV-AGN-VM07
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-AGN-DEV-RESOURCEGROUP,OXGAGNDEVVM
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-AVD-DEV-RG,OXG-AVD-DEV-0
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-AVD-DEV-RG,OXG-AVD-DEV-2
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-AVD-DEV-RG,OXG-DEV-AVD-0
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-CIS-DEV-RESOURCEGROUP,OXGCISDEVVM
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-CLS-DEV-RESOURCEGROUP,OXGAGNAKSDEVVM
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-CLS-DEV-RESOURCEGROUP,OXGAKSDEVVM
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-CLS-DEV-RESOURCEGROUP,OXGDBCAKSDEVVM
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-CVL-DEV-RESOURCEGROUP,OXG-CVL-DEV-VM
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-CYA-DEV-RESOURCEGROUP,OXG-CYA-DEV-VM1
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-DTE-DEV-RESOURCEGROUP,OXG-SER-DEV-VM
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-DTE-DEV-RESOURCEGROUP,OXGRBTDEVVM
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-GTK-DEV-RESOURCEGROUP,OXG-GTK-DEV-VM
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-PSR-DEV-RESOURCEGROUP,OXG-PSR-DEV-VM
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-RBT-DEV-RESOURCEGROUP,OXGRBTDEVVM
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-SRH-DBK-PRD-RESOURCEGROUP,7cd8276b18264121bcdfe75527ef1f83
OXG-DES-SUS-01,18a56807-fa4c-482a-9a00-ab73ceb59f9c,OXG-SRH-DBK-PRD-RESOURCEGROUP,dd26188fa78540f8b14cb7c4a3ca0ecb
